client_id,session_id,date_time_visit,event_type,label,channel,device,platform
978435894.1594527679,,,,,,,
979437466.1594019350,,,,,,,
979674392.1593760001,,,,,,,
981365653.1573625900,,,,,,,
981686426.1594529237,,,,,,,
982052641.1592568349,,,,,,,
982128039.1594008883,,,,,,,
982405295.1594789147,1594789148,2020-07-15T11:59:08.310533Z,PAGEVIEW,/people/ถาวร-มณีพฤกษ์,Organic Search,Android,web
98298018.1593880449,,,,,,,
983121143.1594126765,,,,,,,
983201853.1594032500,,,,,,,
983645240.1594612599,,,,,,,
983807268.1594015766,,,,,,,
985279137.1593779515,,,,,,,
986458053.1594090459,,,,,,,
986998270.1594041303,,,,,,,
987306677.1594825599,1594825599,2020-07-15T22:06:39.654041Z,PAGEVIEW,/people/จิรชัย-มูลทองโร่ย,Organic Search,iOS,web
98750296.1594011721,,,,,,,
98833061.1594058228,,,,,,,
989278655.1593589652,,,,,,,
989419091.1594170145,,,,,,,
990333026.1594995047,1594995145,2020-07-17T21:12:25.083147Z,PAGEVIEW,/people/ณรงค์-อ่อนสอาด,Organic Search,Windows,web
990587168.1594873450,1594873451,2020-07-16T11:24:11.337197Z,PAGEVIEW,/people/กัญจน์พงศ์-จงสุทธนามณี,Direct,Android,web
990604435.1595241842,1595241841,2020-07-20T17:44:01.956350Z,PAGEVIEW,/people/ดล-เหตระกูล,Organic Search,Macintosh,web
990805802.1589984182,,,,,,,
99101225.1594022524,,,,,,,
992385132.1594037909,,,,,,,
992676321.1594197976,,,,,,,
993130882.1595032012,1595032011,2020-07-18T07:27:10.144951Z,EVENT,https://elect.in.th/politics-and-business/#/p/เพื่อไทย/person/นพพล เหลืองทองนารา,Organic Search,iOS,web
993130882.1595032012,1595032011,2020-07-18T07:26:51.871738Z,PAGEVIEW,/people/นพพล-เหลืองทองนารา,Organic Search,iOS,web
993357075.1595149053,1595149054,2020-07-19T15:57:34.883531Z,PAGEVIEW,/people/สนธยา-ศรีเจริญ,Organic Search,Android,web
993894263.1593764538,,,,,,,
994905476.1594047626,,,,,,,
994940417.1594169466,,,,,,,
996456772.1594107341,,,,,,,
996463884.1593788057,,,,,,,
997203778.1594018908,,,,,,,
997748170.1595089278,1595089278,2020-07-18T23:21:18.649110Z,PAGEVIEW,/people/กรณิศ-งามสุคนธ์รัตนา,Direct,Android,web
998211875.1594039169,,,,,,,
998457257.1594449834,,,,,,,
998478625.1594976657,1594976658,2020-07-17T16:04:18.765705Z,PAGEVIEW,/people/ฉลอง-เทอดวีระพงศ์,Organic Search,Windows,web
998753054.1594773102,1594773102,2020-07-15T07:31:42.535432Z,PAGEVIEW,/people/วัฒนา-ช่างเหลา,Organic Search,iOS,web
99893229.1594062341,,,,,,,
999191511.1593765791,,,,,,,
999576715.1593567381,,,,,,,
